33,1,R8,Pref,80-0499K-23,CRCW0402499KFK,VISHAY DALE,499K,RESISTOR; 0402; 499K; 1%; 100PPM; 0.0625W; THICK FILM, 
34,2,"R9, R38",Pref,80-049K9-18,CRCW040249K9FK; 9C04021A4992FLHF3,VISHAY DALE,49.9K,RESISTOR; 0402; 49.9K; 1%; 100PPM; 0.0625W; THICK FILM, 
35,1,R10,Pref,80-0324K-B3E,RN73C1J324KB; 4-1879135-8,TE CONNECTIVITY,324K,RESISTOR; 0603; 324K OHM; 0.1%; 10PPM; 0.063W; THIN FILM, 
36,2,"R13, R36",Pref,80-0100K-Q6,ERJ-2GEJ104X,PANASONIC,100K,RESISTOR; 0402; 100K OHM; 5%; 200PPM; 0.10W; THICK FILM, 
37,2,"R14, R32",Pref,80-005K1-18,CRCW04025K10FK,VISHAY DALE,5.1K,RESISTOR; 0402; 5.1K; 1%; 100PPM; 0.0625W; THICK FILM, 
38,1,R25,Pref,80-0001K-18,ERJ-2RKF1001X,PANASONIC,1K,RESISTOR; 0402; 1K OHM; 1%; 100PPM; 0.10W; THICK FILM, 
39,2,"R26, R30",Pref,80-02K49-AA23,ERJ-2RKF2491,PANASONIC,2.49K,RESISTOR; 0402; 2.49K OHM; 1%; 100PPM; 0.10W; THICK FILM, 
40,2,"R39, R41",Pref,80-0001K-23,CRCW04021K00FK;RC0402FR-071KL,VISHAY DALE/YAGEO PHICOMP,1K,RESISTOR; 0402; 1K; 1%; 100PPM; 0.0625W; THICK FILM, 
41,1,R42,Pref,80-0576K-23,CRCW0402576KFK,VISHAY DALE,576K,"RESISTOR, 0402, 576KOHMS, 1%, 100PPM, 0.063W, THICK FILM", 
42,1,SW1,Pref,11-EVPAA202K-00,EVP-AA202K,PANASONIC,EVP-AA202K,SWITCH; SPST; SMT; 15V; 0.02A;BLACK; WITHOUT GROUND TERMINAL; EVPAA SERIES; LIGHT TOUCH SWITCH; RCOIL=0.1 OHM; RINSULATION=100M OHM; PANASONIC, 
43,1,T1,Pref,12-2450BL15B200-08,2450BL15B200,JOHANSON TECHNOLOGY,2450BL15B200,TRANSFORMER; SMT (0805); 2.4-2.5GHZ; HIGH FREQUENCY CERAMIC SOLUTION, 
44,2,"U2, U12",Pref,MAX30205MTA+,MAX30205MTA+,MAXIM,MAX30205MTA+,IC; SNSR; HUMAN BODY TEMPERATURE SENSOR; TDFN8-EP, 
45,1,U3,Pref,MAX30003CTI+,MAX30003CTI+,MAXIM,MAX30003CTI+,EVKIT PART-IC; DET; ULTRA-LOW POWER; SINGLE CHANNEL INTEGRATED BIOPOTENTIAL (ECG; R-R DETECTION) ANALOG FRONT END SOLUTION; TQFN28-EP, 
46,1,U4,Pref,MAX8881EUT33,MAX8881EUT33,MAXIM,MAX8881EUT33,"IC; VREG; ULTRA-LOW-IQ, LOW-DROPOUT LINEAR REGULATORS WITH POK; SOT23-6", 
47,1,U5,Pref,10-BMP280-L,BMP280,BOSCH,BMP280,IC; SNSR; DIGITAL; BAROMETRIC PRESSURE SENSOR; LGA8, 
48,1,U6,Pref,10-SN74LVC2T45YZPR-B,SN74LVC2T45YZPR,TEXAS INSTRUMENTS,SN74LVC2T45YZPR,IC; TXRX; DUAL-BIT DUAL-SUPPLY BUS TRANSCEIVER WITH CONFIGURABLE VOLTAGE TRANSLATION; 3-STATE OUTPUTS; BGA8, 
49,1,U7,Pref,10-EM9301V22LF24B-G,EM9301V22LF24B+,EM MICROELECTRONIC,EM9301V22LF24B+,IC; CTRL; BLE CONTROLLER WITHOUT DCDC; SINGLE CELL BATTERY BLUETOOTH LOW ENERGY CONTROLLER; QFN24-EP, 
50,1,U8,Pref,10-SN74AVC4T234ZSUR-B,SN74AVC4T234ZSUR,TEXAS INSTRUMENTS,SN74AVC4T234ZSUR,IC; TRANS; 4-BIT DUAL-SUPPLY NON-INVERTING BUS TRANSLATOR; UCSP11, 
51,1,U9,Pref,MAX8880EUT+,MAX8880EUT+,MAXIM,MAX8880EUT+,IC; VREG; ULTRA-LOW-IQ LOW-DROPOUT LINEAR REGULATOR WITH POK; SOT23-6, 
52,1,U11,Pref,MAX14720AEWA+,MAX14720AEWA+,MAXIM,MAX14720AEWA+,IC; PWRM; POWER MANAGEMENT SOLUTION; WLP25, 
53,1,U13,Pref,10-LSM6DS3-L,LSM6DS3,ST MICROELECTRONICS,LSM6DS3,IC; INEMO; INEMO INERTIAL MODULE; ALWAYS-ON 3D ACCELEROMETER AND 3D GYROSCOPE; LGA14, 
54,1,U14,Pref,10-LIS2DH-L,LIS2DH,ST MICROELECTRONICS,LIS2DH,IC; MEMS; MEMS DIGITAL OUTPUT MOTION SENSOR; ULTRA LOW-POWER HIGH PERFORMANCE 3-AXIS FEMTO ACCELEROMETER; LGA14 2X2, 
55,2,"U15, U19",Pref,MAX3205EAWL+T,MAX3205EAWL+T,MAXIM,MAX3205EAWL+T,IC; PROT; HEX HIGH SPEED DIFFERENTIAL ESD PROTECTION IC; WLP9, 
56,4,"U16, U20, U21, U26",Pref,10-74AUP1G97GF-B,74AUP1G97GF,NXP,74AUP1G97GF,IC; LOGC; LOW-POWER CONFIGURABLE MULTIPLE FUNCTION GATE; XSON6, 
57,1,U17,Pref,MAX30101EFD+,MAX30101EFD+,MAXIM,MAX30101EFD+,IC; SNSR; HIGH-SENSITIVITY PULSE OXIMETER AND HEART-RATE SENSOR IC FOR WEARABLE HEALTH; OLGA14 3.3X5.6, 
58,2,"U18, U23",Pref,MAX4741ELA+,MAX4741ELA+,MAXIM,MAX4741ELA+,IC; ASW; 0.8 OHM; LOW-VOLTAGE; SINGLE-SUPPLY DUAL SPST ANALOG SWITCH; UDFN8, 
59,2,"U22, U25",Pref,MAX9064EBS+G45,MAX9064EBS+G45,MAXIM,MAX9064EBS+G45,IC; COMP; ULTRA-SMALL; LOW-POWER SINGLE COMPARATOR; UCSP4, 
60,1,U24,Pref,MAX4995AAVB+,MAX4995AAVB+,MAXIM,MAX4995AAVB+,IC; SWTC; 0.05A TO 0.6A PROGRAMMABLE SWITCH; ACTIVE-HIGH; AUTO-RETRY; NORMAL; UTQFN10, 
61,1,U27,Pref,10-S25FS256SAGNFI001-G,S25FS256SAGNFI001,SPANSION,S25FS256SAGNFI001,IC; MMRY; MIRRORBIT FLASH; NON-VOLATILE MEMORY; 1.8V SINGLE SUPPLY WITH CMOS I/O; SERIAL PERIPHERAL INTERFACE WITH MULTI-I/O; WSON8-EP, 
62,1,XU1,Pref,MAX32620IWG+,MAX32620IWG+,MAXIM,MAX32620IWG+,IC; UCON; HIGH-PERFORMANCE; ULTRA-LOW POWER CORTEX-M4F MICROCONTROLLER FOR RECHARGEABLE DEVICES; WLP81, 
63,1,Y1,Pref,60-0026M-0AM,ABM8-26.000MHZ-10-1U,ABRACON,26MHZ,CRYSTAL; SMT; 10PF; 26MHZ; +/-10PPM; +/-10PPM, 
64,1,Y2,Pref,60-32K76-0AL,ABS07-32.768KHZ-6-T,ABRACON,32.768KHZ,CRYSTAL; SMT; 6PF; 32.768KHZ; +/-20PPM; -0.036PPM/T2, 
65 , 1 , , Pref,N/A , MAXREFDES100_APPS_A ,MAXIM, PCB, PCB: MAXREFDES100_APPS_A
TOTAL,142

DO NOT PURCHASE(DNP)
ITEM,QTY,REF DES,Var Status,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,2,"C7, C12",DNP,20-000U1-R1B,100X14W104MV4T,JOHANSON DIELECTRICS INC,0.1UF,CAPACITOR; SMT (0603); CERAMIC CHIP; 0.1UF; 10V; TOL=20%; MODEL=X2Y SERIES; TG=-55 DEGC TO +125 DEGC; TC=X7R, 
2,1,C35,DNP,N/A,N/A,N/A,OPEN,PACKAGE OUTLINE 0402 NON-POLAR CAPACITOR - EVKIT, 
3,1,Q5,DNP,90-FDME1034CZT-02,FDME1034CZT,FAIRCHILD SEMICONDUCTOR,FDME1034CZT,TRAN; COMPLEMENTARY POWER TRENCH MOSFET; DCH; MICROFET; PD-(1.4W); I-(N+3.8A/P-2.6A); V-(N+20V/P-20V), 
4,1,R16,DNP,80-0001M-23G,RC0402FR-071ML,YAGEO PHYCOMP,1M,RESISTOR; 0402; 1M OHM; 1%; 100PPM; 0.063W; THICK FILM, 
5,2,"R37, R40",DNP,80-0010K-23,CRCW040210K0FK; RC0402FR-0710K,VISHAY DALE; YAGEO PHICOMP,10K,RESISTOR; 0402; 10K; 1%; 100PPM; 0.0625W; THICK FILM, 
6,2,"U1, U10",DNP,N/A,MAX30033CTA+,MAXIM,MAX30033CTA+,EVKIT PART-IC; MAX30033; NO FINAL DATASHEET; PACKAGE OUTLINE: 21-0168; PACKAGE CODE: T822-2, 
TOTAL, 9


PACKOUT (These are purchased parts but not assembled on PCB and will be shipped with PCB)
ITEM,QTY,REF DES,MAXINV,MFG PART #,MANUFACTURER,VALUE,DESCRIPTION,COMMENTS
1,1,PACKOUT,88-00711-SML,88-00711-SML,N/A,?,BOX;SMALL BROWN 9 3/16X7X1 1/4 - PACKOUT, 
2,1,PACKOUT,87-02162-00,87-02162-00,N/A,?,ESD BAG;BAG;STATIC SHIELD ZIP 4inX6in;W/ESD LOGO - PACKOUT, 
3,1,PACKOUT,85-MAXKIT-PNK,85-MAXKIT-PNK,N/A,?,PINK FOAM;FOAM;ANTI-STATIC PE 12inX12inX5MM - PACKOUT, 
4,1,PACKOUT,EVINSERT,EVINSERT,N/A,?,WEB INSTRUCTIONS FOR MAXIM DATA SHEET, 
5,1,PACKOUT,85-84003-006,85-84003-006,N/A,?,LABEL(EV KIT BOX) - PACKOUT, 
TOTAL,5
